Provinsi,year,"IPM","LamaSekolah","PendudukMiskin","AktaKelahiran","PersentaseMerokok","KonsumsiKalori","MelekHuruf","Penerangan","IDI","TeleponGenggam","AnakBekerja"
Kalimantan Tengah,2018,70.42,8.66,136.93,82.33,32.64,2181.57,99.91,82.79,71.27,68.2,3.32
Kalimantan Selatan,2018,70.17,8.45,189.03,89.03,27.18,2268.53,99.66,96.87,79.92,66.04,2.89
Kalimantan Timur,2018,75.83,9.63,218.9,92.23,29.17,1998.36,99.7,91.96,73.88,76.36,2.04
Kalimantan Utara,2018,70.56,9.18,50.35,89.51,29.82,1973.97,97.46,91.09,81.07,73.99,2.11
Sulawesi Utara,2018,72.2,9.51,193.31,85.45,32.8,2208.57,99.92,98.67,77.77,64.64,1.61
Sulawesi Tengah,2018,68.88,8.74,420.21,73.69,35.57,2087.03,99.19,89.65,75.29,56.66,4.67
Sulawesi Selatan,2018,70.9,8.45,792.63,87.04,29.51,2183.61,95.37,96.48,70.88,63.85,4.63
Sulawesi Tenggara,2018,70.61,9.03,307.1,81.47,31.46,2125.18,97.27,93.23,74.32,60.34,5.32
Gorontalo,2018,67.71,7.83,198.51,90.08,36.56,2053.45,99.26,96.31,72.59,58.5,4.56
Sulawesi Barat,2018,65.1,7.94,151.78,84.63,29.41,2042.54,95.36,83.18,71.46,50.44,3.7
Maluku,2018,68.87,9.78,320.08,73.59,32.74,1780.90,99.41,88.69,75.51,56.13,2.14
Maluku Utara,2018,67.76,9.07,81.46,75.98,35.29,1820.23,99.77,85.04,72.1,53.55,2.42
Papua Barat,2018,63.74,9.73,214.47,70.75,32.73,1944.26,98.16,82.04,58.29,65.08,2.19
Papua,2018,60.06,6.66,917.63,36.32,28.97,1842.23,77.12,43.51,62.2,40.46,4.2
Aceh,2019,71.9,9.59,819.44,91.22,28.7,2059.02,99.59,99.06,78,57.75,1.18
Sumatera Utara,2019,71.74,9.71,1282.04,76.81,27.46,2177.35,99.66,97.30,67.65,60.66,4.01
Sumatera Barat,2019,72.39,9.22,348.22,87.89,30.75,2131.23,99.79,97.17,67.69,62.62,2.46
Riau,2019,73,9.35,490.72,78.32,29.04,2068.89,99.92,91.39,75.21,67.29,2.21
Jambi,2019,71.26,8.86,274.32,91.92,28.54,2057.48,99.73,94.86,69.76,64.75,2.06
Sumatera Selatan,2019,70.02,8.6,1073.74,88.65,30.91,2121.99,99.59,95.15,78.96,60.7,2.27
Bengkulu,2019,71.21,9.08,302.3,91.85,33.14,2086.11,99.69,97.21,78.79,61.18,1.99
Lampung,2019,69.57,8.36,1063.66,90.23,34.39,2050.79,99.17,96.73,72.56,61.54,2.2
Kepulauan Bangka Belitung,2019,71.3,8.35,68.38,94.6,29.18,2150.84,99.16,98.57,76.75,67.77,2.41
Kepulauan Riau,2019,75.48,10.13,128.46,93.53,27.59,2131.06,99.59,96.90,81.64,76.39,0.98
Dki Jakarta,2019,80.76,11.11,365.55,97.01,26.04,2191.06,99.94,99.99,88.29,78.42,1.17
Jawa Barat,2019,72.03,8.79,3399.16,83.68,32.97,2196.68,99.85,99.62,69.09,66.24,1.85
Jawa Tengah,2019,71.73,8.03,3743.23,95.12,27.4,2045.63,97.82,99.76,77.22,61.66,2.17
Daerah Istimewa Yogyakarta,2019,79.99,9.83,448.47,97.95,22.87,2200.67,98.83,99.82,80.67,67.66,2.08
Jawa Timur,2019,71.5,8.11,4112.25,89.06,27.93,2088.09,96.72,99.42,77.68,62.16,1.64
